,Lat,Lon,Time,Depth
E1,-2.427576652381235,-79.6622665633509,"09/09/2022, 18:00:44",2.3
E10,-2.429171579040817,-79.66498440473558,"09/09/2022, 18:04:08",2.3
E100,-2.4448803907805288,-79.69083498834111,"09/09/2022, 18:30:23",6.6
E101,-2.445425977252259,-79.69092875931484,"09/09/2022, 18:30:46",7.0
E102,-2.4457643190092506,-79.69107010285839,"09/09/2022, 18:31:05",7.0
E103,-2.4461188818254453,-79.69115654745059,"09/09/2022, 18:31:23",7.0
E104,-2.446490379259132,-79.6912492898869,"09/09/2022, 18:31:42",6.7
E105,-2.4468879283029583,-79.69136299368269,"09/09/2022, 18:32:01",7.9
E106,-2.4472369492334463,-79.69157979924158,"09/09/2022, 18:32:21",7.4
E107,-2.4474579680627113,-79.69178828749494,"09/09/2022, 18:32:34",7.2
E108,-2.4476488797023284,-79.69197549750146,"09/09/2022, 18:32:48",7.4
E109,-2.4478202591645664,-79.69216789468238,"09/09/2022, 18:32:59",7.4
E11,-2.429314254208175,-79.66522188066105,"09/09/2022, 18:04:19",1.9
E110,-2.447907995130449,-79.69242432660799,"09/09/2022, 18:33:13",7.3
E111,-2.448023265466905,-79.69270696682322,"09/09/2022, 18:33:27",7.2
E112,-2.448067161140267,-79.69303862485192,"09/09/2022, 18:33:43",7.2
E113,-2.448060089555066,-79.69333271618038,"09/09/2022, 18:33:55",7.9
E114,-2.448201568116922,-79.6937839576219,"09/09/2022, 18:34:15",10.4
E115,-2.4481437926333314,-79.69434778592549,"09/09/2022, 18:34:37",9.9
E116,-2.448104152795118,-79.69490750840724,"09/09/2022, 18:34:57",8.5
E117,-2.448097094491102,-79.6953389003704,"09/09/2022, 18:35:14",8.0
E118,-2.4480744139725377,-79.69568869159716,"09/09/2022, 18:35:28",7.3
E119,-2.448073400778346,-79.69607229295346,"09/09/2022, 18:35:44",6.9
E12,-2.4294248130266616,-79.66550423454743,"09/09/2022, 18:04:32",1.9
E120,-2.448109471307822,-79.69652406498547,"09/09/2022, 18:36:04",5.8
E121,-2.448181645003823,-79.6973014682058,"09/09/2022, 18:36:39",5.2
E122,-2.4482658482588002,-79.69769470335673,"09/09/2022, 18:36:54",5.2
E123,-2.448375410081266,-79.69802546631823,"09/09/2022, 18:37:09",5.1
E124,-2.448542298465757,-79.69837336807441,"09/09/2022, 18:37:27",5.8
E125,-2.4487125742742197,-79.69870649165496,"09/09/2022, 18:37:42",5.0
E126,-2.4488809787185724,-79.69900309338705,"09/09/2022, 18:37:58",4.8
E127,-2.449109330807597,-79.69932372717919,"09/09/2022, 18:38:15",4.9
E128,-2.4492811717944987,-79.69962316948683,"09/09/2022, 18:38:31",4.7
E129,-2.4495510979206996,-79.69991474143761,"09/09/2022, 18:38:50",3.8
E13,-2.4295350255308223,-79.66571552276473,"09/09/2022, 18:04:44",1.9
E130,-2.449829275681254,-79.70024579064898,"09/09/2022, 18:39:10",3.1
E131,-2.45029069931693,-79.70076508200884,"09/09/2022, 18:39:43",2.3
E132,-2.450606354424661,-79.70092209186245,"09/09/2022, 18:40:00",1.9
E133,-2.4509699414865467,-79.7011214872361,"09/09/2022, 18:40:21",3.3
E134,-2.4510924572938895,-79.70166532850963,"09/09/2022, 18:40:48",4.6
E134,-2.4531922257401773,-79.70272921210321,"09/09/2022, 18:43:23",4.6
E135,-2.451199492405917,-79.70207221858962,"09/09/2022, 18:41:09",6.8
E136,-2.4515948962076233,-79.70259745348454,"09/09/2022, 18:41:40",6.4
E137,-2.45190298932341,-79.70247419581555,"09/09/2022, 18:41:59",7.5
E138,-2.4521048858319174,-79.70222217776649,"09/09/2022, 18:42:12",4.1
E139,-2.452439223989446,-79.70206499804404,"09/09/2022, 18:42:29",3.3
E14,-2.429722691437725,-79.66610786501556,"09/09/2022, 18:05:02",2.1
E140,-2.4527216476861593,-79.70207306056659,"09/09/2022, 18:42:44",3.1
E141,-2.452990820814714,-79.70228242570344,"09/09/2022, 18:43:01",3.3
E142,-2.453085944998297,-79.70242896752104,"09/09/2022, 18:43:11",4.3
E144,-2.4532821088806713,-79.70299296399959,"09/09/2022, 18:43:37",6.2
E145,-2.4534234844927054,-79.70321572491791,"09/09/2022, 18:43:50",7.4
E146,-2.453634115676092,-79.70341160434229,"09/09/2022, 18:44:05",7.0
E147,-2.4539686560440974,-79.70353451216063,"09/09/2022, 18:44:22",7.4
E148,-2.454240850739921,-79.70333902292367,"09/09/2022, 18:44:40",6.2
E149,-2.4545241072881816,-79.70309665918526,"09/09/2022, 18:44:55",5.0
E15,-2.4298094401077504,-79.6663524860293,"09/09/2022, 18:05:14",1.8
E150,-2.45471187603365,-79.70291175364439,"09/09/2022, 18:45:07",3.7
E151,-2.454864576815433,-79.70266863337656,"09/09/2022, 18:45:23",2.7
E153,-2.4552297923174056,-79.7026188226575,"09/09/2022, 18:45:41",3.6
E153,-2.455484708388803,-79.70285006768283,"09/09/2022, 18:45:58",3.6
E154,-2.4556244659680218,-79.70316031095952,"09/09/2022, 18:46:12",4.8
E155,-2.4557337807019755,-79.70347240761676,"09/09/2022, 18:46:26",6.3
E156,-2.455966657176649,-79.70382560184686,"09/09/2022, 18:46:45",7.3
E157,-2.4561409901075106,-79.70402239734821,"09/09/2022, 18:46:58",7.4
E158,-2.456545884167113,-79.70413373965674,"09/09/2022, 18:47:16",7.2
E159,-2.4568500304187455,-79.7041266115781,"09/09/2022, 18:47:30",7.0
E16,-2.4298453055436164,-79.66666027999486,"09/09/2022, 18:05:27",3.9
E160,-2.457200660998564,-79.7040244778835,"09/09/2022, 18:47:47",6.3
E161,-2.457504489496104,-79.70372368319237,"09/09/2022, 18:48:03",5.8
E162,-2.457746035887391,-79.70349903492988,"09/09/2022, 18:48:17",5.2
E163,-2.4579914563289873,-79.70327882346729,"09/09/2022, 18:48:33",5.3
E164,-2.4581620767884482,-79.70313868987282,"09/09/2022, 18:48:44",6.2
E165,-2.4584530089252685,-79.70315892415951,"09/09/2022, 18:49:00",6.4
E166,-2.4587895742444204,-79.70322912672027,"09/09/2022, 18:49:23",6.5
E167,-2.459103428141151,-79.70352215642005,"09/09/2022, 18:49:39",6.7
E168,-2.4592670148677915,-79.70378544710027,"09/09/2022, 18:49:54",5.9
E169,-2.4594769647850105,-79.7042069004076,"09/09/2022, 18:50:15",5.8
E17,-2.4299314384725075,-79.66685181719451,"09/09/2022, 18:05:38",4.5
E170,-2.459605829412837,-79.70437363268904,"09/09/2022, 18:50:24",5.6
E171,-2.4598480011703576,-79.70470226772575,"09/09/2022, 18:50:41",6.6
E172,-2.460494806938695,-79.70505291728202,"09/09/2022, 18:51:14",5.2
E172,-2.460125156263412,-79.7049247232417,"09/09/2022, 18:50:57",5.2
E173,-2.4609657185404243,-79.70484349013024,"09/09/2022, 18:51:33",5.8
E174,-2.4613077668193797,-79.70457077235878,"09/09/2022, 18:51:50",6.2
E175,-2.461821029226194,-79.70435809478501,"09/09/2022, 18:52:15",6.8
E176,-2.462104083760835,-79.70430515130576,"09/09/2022, 18:52:30",6.4
E177,-2.4624122510374855,-79.70456242172467,"09/09/2022, 18:52:49",6.8
E178,-2.462553752184933,-79.70481091809758,"09/09/2022, 18:53:03",7.2
E179,-2.462603755325815,-79.70516917415125,"09/09/2022, 18:53:21",6.1
E18,-2.430017770832958,-79.66715114691507,"09/09/2022, 18:05:50",3.8
E180,-2.4627282677812743,-79.7055201122417,"09/09/2022, 18:53:36",5.2
E181,-2.4628601618069488,-79.70585621371717,"09/09/2022, 18:53:52",4.6
E182,-2.4630809847036197,-79.70614649890335,"09/09/2022, 18:54:08",4.6
E183,-2.463427670151577,-79.70624796781868,"09/09/2022, 18:54:25",4.9
E184,-2.463808514156086,-79.70615427768875,"09/09/2022, 18:54:41",6.1
E185,-2.464183904594091,-79.7059894062274,"09/09/2022, 18:54:57",8.0
E186,-2.464483854005191,-79.70591198877725,"09/09/2022, 18:55:11",8.0
E187,-2.4647930390664192,-79.70586224132903,"09/09/2022, 18:55:27",7.2
E188,-2.464979209957068,-79.70601200262507,"09/09/2022, 18:55:40",6.3
E189,-2.4652207612261843,-79.70621759797085,"09/09/2022, 18:55:55",7.7
E19,-2.4301193210986494,-79.66741079226477,"09/09/2022, 18:06:03",3.2
E190,-2.4653425289264885,-79.70636973079856,"09/09/2022, 18:56:09",8.3
E191,-2.4654887523675755,-79.70679101152098,"09/09/2022, 18:56:25",9.8
E192,-2.4655280953471843,-79.70712565141793,"09/09/2022, 18:56:40",8.8
E193,-2.4654899586648114,-79.70745989293681,"09/09/2022, 18:56:55",5.7
E194,-2.46544347594771,-79.7079751579883,"09/09/2022, 18:57:18",4.8
E195,-2.4654651679025084,-79.70828048052223,"09/09/2022, 18:57:31",4.1
E196,-2.465579188249093,-79.70862214129973,"09/09/2022, 18:57:47",4.1
E197,-2.4658952251821353,-79.70881789129841,"09/09/2022, 18:58:05",4.5
E198,-2.4662442601312695,-79.70892010605894,"09/09/2022, 18:58:20",6.2
E199,-2.4665856440027287,-79.70892735244072,"09/09/2022, 18:58:35",7.0
E2,-2.4278781183281732,-79.66264302664568,"09/09/2022, 18:01:28",1.4
E20,-2.430215760518536,-79.66773005472623,"09/09/2022, 18:06:17",3.0
E200,-2.4668739885509923,-79.70898865433887,"09/09/2022, 18:58:46",7.1
E201,-2.4673556494017017,-79.7090520158404,"09/09/2022, 18:59:05",6.3
E203,-2.4678755555414784,-79.70943839178297,"09/09/2022, 18:59:36",6.6
E204,-2.468184524918827,-79.70969836416516,"09/09/2022, 18:59:54",6.6
E205,-2.4683724879826996,-79.70995516272568,"09/09/2022, 19:00:07",7.1
E206,-2.4684388976364757,-79.71021237131626,"09/09/2022, 19:00:19",7.8
E207,-2.4685337652912724,-79.7105901046406,"09/09/2022, 19:00:36",8.0
E208,-2.4684079697023407,-79.71105917213184,"09/09/2022, 19:00:56",7.3
E209,-2.4679798897734635,-79.71154492056567,"09/09/2022, 19:01:22",4.7
E21,-2.430320943059048,-79.66800927233456,"09/09/2022, 18:06:28",3.4
E210,-2.4678396137335956,-79.71183141226042,"09/09/2022, 19:01:35",4.2
E211,-2.4678063355737763,-79.71211257490701,"09/09/2022, 19:01:51",4.1
E212,-2.4681158973032398,-79.7122835839363,"09/09/2022, 19:02:05",3.9
E213,-2.4685055550481367,-79.71231558665605,"09/09/2022, 19:02:19",5.6
E214,-2.4688034998893924,-79.71240085918258,"09/09/2022, 19:02:33",6.7
E215,-2.4691367318847997,-79.71254485725613,"09/09/2022, 19:02:45",8.3
E216,-2.4694344849304772,-79.71262105077872,"09/09/2022, 19:02:59",9.2
E217,-2.4697496656403914,-79.712769443882,"09/09/2022, 19:03:13",9.0
E218,-2.4699526206042655,-79.71306061532414,"09/09/2022, 19:03:28",8.7
E219,-2.470179344156199,-79.71336169589416,"09/09/2022, 19:03:44",8.4
E22,-2.4304040731508025,-79.66820875132841,"09/09/2022, 18:06:37",3.2
E220,-2.470373403136875,-79.71382382513384,"09/09/2022, 19:04:02",8.4
E23,-2.430522789098518,-79.668563374401,"09/09/2022, 18:06:53",3.2
E24,-2.430578867626053,-79.66886190745267,"09/09/2022, 18:07:05",3.0
E25,-2.4305889195569375,-79.66906484239652,"09/09/2022, 18:07:13",3.4
E26,-2.4306444820090323,-79.66943173282783,"09/09/2022, 18:07:27",3.4
E27,-2.4306600805209073,-79.66973957392831,"09/09/2022, 18:07:40",3.7
E28,-2.430713590841041,-79.67002423959255,"09/09/2022, 18:07:53",5.3
E29,-2.4307576606831347,-79.67028665175657,"09/09/2022, 18:08:04",7.2
E3,-2.428042994367792,-79.66278409349927,"09/09/2022, 18:01:48",1.8
E30,-2.430826940792998,-79.67056214442407,"09/09/2022, 18:08:16",7.6
E31,-2.4308747611316073,-79.67077074254217,"09/09/2022, 18:08:26",7.1
E32,-2.430945876852937,-79.67111248833322,"09/09/2022, 18:08:39",6.4
E33,-2.4309916442978396,-79.67137498305934,"09/09/2022, 18:08:50",4.7
E34,-2.4311441497001796,-79.67186047021998,"09/09/2022, 18:09:12",3.9
E35,-2.4311656702738054,-79.67233149799702,"09/09/2022, 18:09:32",4.4
E36,-2.43114616244823,-79.67301639635157,"09/09/2022, 18:10:02",4.5
E37,-2.4310920091537875,-79.67360595375946,"09/09/2022, 18:10:28",4.4
E38,-2.4309793027706217,-79.6741487816063,"09/09/2022, 18:10:49",3.4
E39,-2.4309186725385445,-79.67469280311545,"09/09/2022, 18:11:08",3.5
E4,-2.428268516119056,-79.66312681966572,"09/09/2022, 18:02:42",1.8
E4&,-2.4307266224977626,-79.67982633404657,"09/09/2022, 18:14:36",
E40,-2.43087159076368,-79.6752006911863,"09/09/2022, 18:11:31",3.4
E41,-2.4307963288043855,-79.67584063711683,"09/09/2022, 18:11:55",3.8
E42,-2.4307653893092405,-79.67637145107908,"09/09/2022, 18:12:15",4.9
E43,-2.430748360474868,-79.67691231201276,"09/09/2022, 18:12:38",4.9
E44,-2.430701512692198,-79.67762993476067,"09/09/2022, 18:13:03",4.9
E45,-2.430744480985318,-79.67816154209281,"09/09/2022, 18:13:27",5.2
E46,-2.4307458780534916,-79.67860444159756,"09/09/2022, 18:13:43",4.6
E47,-2.4307561707430696,-79.67926192288748,"09/09/2022, 18:14:09",6.0
E49,-2.430687471199912,-79.68064159961702,"09/09/2022, 18:15:00",6.3
E5,-2.428475100729152,-79.66352216384112,"09/09/2022, 18:02:59",2.0
E50,-2.4305942054670333,-79.68127470777726,"09/09/2022, 18:15:27",5.9
E51,-2.430578448949255,-79.6817448768576,"09/09/2022, 18:15:49",5.3
E52,-2.430507562129029,-79.682166762598,"09/09/2022, 18:16:11",4.5
E53,-2.430499037917427,-79.6825835112157,"09/09/2022, 18:16:28",4.7
E54,-2.4304356818413155,-79.68303818407914,"09/09/2022, 18:16:48",4.6
E55,-2.4304232651228324,-79.68330716679655,"09/09/2022, 18:17:10",4.8
E56,-2.4303981062386204,-79.68390511657093,"09/09/2022, 18:17:26",4.1
E57,-2.430409638066154,-79.68440850897561,"09/09/2022, 18:17:45",5.4
E58,-2.4304312756647266,-79.68478832097271,"09/09/2022, 18:18:02",6.7
E59,-2.4305040842301135,-79.68525899538842,"09/09/2022, 18:18:20",6.6
E6,-2.4285924360511832,-79.66383581435281,"09/09/2022, 18:03:14",1.7
E60,-2.4306853146890437,-79.68569332922632,"09/09/2022, 18:18:39",6.5
E61,-2.4311069858102585,-79.68605243150651,"09/09/2022, 18:19:04",5.8
E62,-2.431444400005475,-79.68630301799239,"09/09/2022, 18:19:19",5.7
E63,-2.4317240106410494,-79.68648627132485,"09/09/2022, 18:19:34",6.1
E64,-2.431936825010659,-79.68666993644834,"09/09/2022, 18:19:47",7.9
E65,-2.4322370225028096,-79.6868528813075,"09/09/2022, 18:20:04",8.0
E66,-2.432596734688372,-79.68704126232342,"09/09/2022, 18:20:21",7.3
E67,-2.432980961683973,-79.68730642747346,"09/09/2022, 18:20:38",6.4
E68,-2.4334176515129182,-79.68758173754547,"09/09/2022, 18:21:01",6.9
E69,-2.433798708846505,-79.68787771698501,"09/09/2022, 18:21:22",5.7
E7,-2.428816739861838,-79.66423754968507,"09/09/2022, 18:03:33",1.8
E70,-2.4341819146621515,-79.68810342951447,"09/09/2022, 18:21:43",6.7
E71,-2.434507755713313,-79.6882624280266,"09/09/2022, 18:21:56",6.9
E72,-2.4348257797930724,-79.6883676917036,"09/09/2022, 18:22:13",6.9
E73,-2.435097547996436,-79.68858385613073,"09/09/2022, 18:22:27",6.8
E73,-2.4370604420615782,-79.689611811173,"09/09/2022, 18:24:06",6.8
E74,-2.435422300003579,-79.68890777200272,"09/09/2022, 18:22:46",6.8
E75,-2.4357769138768988,-79.68910045165204,"09/09/2022, 18:23:04",6.4
E76,-2.4360608728456854,-79.6892074756381,"09/09/2022, 18:23:17",6.2
E77,-2.4363537427972766,-79.68935817785984,"09/09/2022, 18:23:32",5.9
E78,-2.436619767706714,-79.68944281212765,"09/09/2022, 18:23:45",5.9
E8,-2.4275403022766113,-79.66223669052124,"09/09/2022, 18:03:46",2.7
E80,-2.437560183645849,-79.68982818174484,"09/09/2022, 18:24:29",5.8
E81,-2.4378626335297957,-79.69010571341843,"09/09/2022, 18:24:48",6.2
E82,-2.4383378373375457,-79.69032254545316,"09/09/2022, 18:25:12",5.9
E83,-2.4387268405606575,-79.69040858799042,"09/09/2022, 18:25:29",5.7
E84,-2.439111783061179,-79.6905031177826,"09/09/2022, 18:25:47",5.5
E85,-2.4394547391314183,-79.69059408079407,"09/09/2022, 18:26:03",5.4
E86,-2.4397989427680664,-79.69066278681284,"09/09/2022, 18:26:19",5.4
E87,-2.440128312239229,-79.69068428409597,"09/09/2022, 18:26:34",5.4
E88,-2.440493518878814,-79.69072727405762,"09/09/2022, 18:26:51",5.5
E89,-2.440744451295171,-79.69071284397243,"09/09/2022, 18:27:04",5.5
E9,-2.4290649779467692,-79.66476938435686,"09/09/2022, 18:03:57",2.7
E90,-2.441073846338581,-79.6907683363112,"09/09/2022, 18:27:20",5.2
E91,-2.4414284193992533,-79.69079057249658,"09/09/2022, 18:27:37",5.2
E92,-2.4417339057209357,-79.69077696347443,"09/09/2022, 18:27:52",5.2
E93,-2.4420933645711607,-79.69075669434076,"09/09/2022, 18:28:09",5.1
E94,-2.4424772823322907,-79.69076473193117,"09/09/2022, 18:28:27",5.2
E95,-2.4428558382918215,-79.69074940974566,"09/09/2022, 18:28:46",5.5
E96,-2.4433186056356546,-79.69073929679871,"09/09/2022, 18:29:06",5.7
E97,-2.4436655286202034,-79.69073823286712,"09/09/2022, 18:29:23",6.2
E98,-2.444094219423608,-79.69079377202114,"09/09/2022, 18:29:44",5.9
E99,-2.4445851066058153,-79.69081594817284,"09/09/2022, 18:30:07",6.9
